Comparison,Mean Diff (%),95% CI,Cohen's d,t-test p,Wilcoxon p
10-20 Model vs MaxUtil+EF1,2.74,"[2.64, 2.84]",3.52,8.88e-132 ***,1.20e-39 ***
10-20 Model vs Round-Robin,2.92,"[2.72, 3.13]",1.82,2.99e-75 ***,2.01e-39 ***
10-20 Model vs ECE,17.30,"[15.72, 18.89]",1.41,1.36e-56 ***,1.20e-39 ***
30-60 Model vs MaxUtil+EF1,2.92,"[2.83, 3.01]",4.22,9.58e-149 ***,1.20e-39 ***
30-60 Model vs Round-Robin,3.11,"[3.00, 3.21]",3.70,2.00e-136 ***,1.20e-39 ***
30-60 Model vs ECE,17.48,"[15.92, 19.05]",1.44,3.79e-58 ***,1.20e-39 ***
Multi-Obj Model vs MaxUtil+EF1,2.81,"[2.72, 2.91]",3.92,8.14e-142 ***,1.20e-39 ***
Multi-Obj Model vs Round-Robin,3.00,"[2.83, 3.18]",2.25,3.91e-92 ***,1.20e-39 ***
Multi-Obj Model vs ECE,17.38,"[15.81, 18.96]",1.42,1.99e-57 ***,1.20e-39 ***
10-20 Model vs 30-60 Model,-0.18,"[-0.30, -0.06]",-0.20,0.0027 **,8.67e-05 ***
10-20 Model vs Multi-Obj Model,-0.08,"[-0.14, -0.02]",-0.18,0.0077 **,0.0230 *
30-60 Model vs Multi-Obj Model,0.10,"[0.02, 0.18]",0.17,0.0105 *,2.54e-07 ***
